name	taxonomy_id	taxonomy_lvl	FMD_002_num	FMD_002_frac	FMD_003_num	FMD_003_frac	FMD_004_num	FMD_004_frac	FMD_006_num	FMD_006_frac	FMD_007_num	FMD_007_frac	FMD_008_num	FMD_008_frac	FMD_009_num	FMD_009_frac	FMD_012_num	FMD_012_frac	FMD_013_num	FMD_013_frac	FMD_014_num	FMD_014_frac	FMD_015_num	FMD_015_frac	FMD_017_num	FMD_017_frac	FMD_021_num	FMD_021_frac	FMD_023_num	FMD_023_frac	FMD_024_num	FMD_024_frac	FMD_025_num	FMD_025_frac	FMD_026_num	FMD_026_frac	FMD_027_num	FMD_027_frac	FMD_028_num	FMD_028_frac	FMD_029_num	FMD_029_frac	FMD_032_num	FMD_032_frac	FMD_033_num	FMD_033_frac	FMD_034_num	FMD_034_frac	FMD_035_num	FMD_035_frac	FMD_037_num	FMD_037_frac	FMD_038_num	FMD_038_frac	FMD_039_040_num	FMD_039_040_frac	FMD_043_044_num	FMD_043_044_frac	FMD_050_num	FMD_050_frac	FMD_051_num	FMD_051_frac	FMD_052_num	FMD_052_frac	FMD_058_num	FMD_058_frac	FMD_059_num	FMD_059_frac	NC1_num	NC1_frac	NC2_num	NC2_frac	NC3_num	NC3_frac	NC4_num	NC4_frac
Maribacter sp. 1_2014MBL_MicDiv	1644130	S	22	0.00001	0	0.00000	16	0.00000	33	0.00000	0	0.00000	85	0.00001	261	0.00002	47	0.00001	0	0.00000	0	0.00000	31	0.00000	0	0.00000	0	0.00000	0	0.00000	77	0.00001	70	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	31	0.00000	0	0.00000	0	0.00000	27	0.00000	36	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	26	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Serratia sp. JKS000199	1938820	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	233	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	331	0.00007	610	0.00048	0	0.00000	0	0.00000
Serratia grimesii	82995	S	32	0.00001	89	0.00001	32	0.00001	56	0.00000	18	0.00000	34	0.00000	45	0.00000	53	0.00001	0	0.00000	0	0.00000	66	0.00001	0	0.00000	13	0.00001	0	0.00000	27	0.00000	38	0.00000	0	0.00000	0	0.00000	12	0.00002	0	0.00000	0	0.00000	0	0.00000	79	0.00001	26	0.00001	0	0.00000	32	0.00000	88	0.00002	0	0.00000	17	0.00001	0	0.00000	25	0.00002	0	0.00000	12	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Paenibacillus uliginis	683737	S	13	0.00000	68	0.00001	45	0.00001	55	0.00000	22	0.00000	88	0.00001	75	0.00001	83	0.00001	18	0.00002	0	0.00000	26	0.00000	0	0.00000	18	0.00001	0	0.00000	180	0.00003	24	0.00000	0	0.00000	15	0.00001	14	0.00002	0	0.00000	0	0.00000	19	0.00001	50	0.00001	33	0.00001	24	0.00001	51	0.00001	27	0.00000	20	0.00001	35	0.00001	11	0.00001	13	0.00001	14	0.00000	22	0.00001	10	0.00000	0	0.00000	0	0.00000	0	0.00000
Muricauda sp. 501str8	2698672	S	0	0.00000	49	0.00000	31	0.00001	121	0.00001	28	0.00001	49	0.00000	85	0.00001	72	0.00001	0	0.00000	0	0.00000	42	0.00000	0	0.00000	25	0.00001	0	0.00000	73	0.00001	34	0.00000	0	0.00000	0	0.00000	16	0.00002	0	0.00000	0	0.00000	19	0.00001	71	0.00001	13	0.00000	0	0.00000	33	0.00000	24	0.00000	0	0.00000	21	0.00001	0	0.00000	18	0.00001	18	0.00001	20	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Paenibacillus sp. FSL H7-0737	1536775	S	0	0.00000	42	0.00000	68	0.00002	44	0.00000	161	0.00003	85	0.00001	78	0.00001	60	0.00001	13	0.00001	0	0.00000	34	0.00000	0	0.00000	16	0.00001	0	0.00000	185	0.00003	15	0.00000	0	0.00000	12	0.00001	0	0.00000	0	0.00000	0	0.00000	11	0.00001	38	0.00000	11	0.00000	15	0.00001	55	0.00001	26	0.00000	15	0.00001	27	0.00001	12	0.00001	27	0.00002	17	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Geobacillus zalihae	213419	S	0	0.00000	69	0.00001	0	0.00000	93	0.00001	50	0.00001	53	0.00000	63	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	81	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Massilia oculi	945844	S	1598	0.00046	15963	0.00122	3596	0.00090	11970	0.00102	1361	0.00025	8045	0.00062	17384	0.00140	9712	0.00119	669	0.00062	8531	0.00603	6505	0.00059	624	0.00112	945	0.00040	87	0.00029	5616	0.00086	15551	0.00090	40	0.00023	315	0.00021	153	0.00022	1132	0.00070	169	0.00022	1152	0.00080	9732	0.00128	4220	0.00151	673	0.00032	1859	0.00023	2637	0.00047	1443	0.00070	4729	0.00167	18550	0.01106	816	0.00052	1514	0.00048	221	0.00013	221	0.00005	103	0.00008	103	0.00034	21	0.00029
Lysinimonas sp. KACC 19322	2592654	S	220	0.00006	1529	0.00012	216	0.00005	691	0.00006	418	0.00008	791	0.00006	826	0.00007	732	0.00009	70	0.00006	34	0.00002	671	0.00006	39	0.00007	136	0.00006	16	0.00005	423	0.00006	969	0.00006	15	0.00009	29	0.00002	26	0.00004	132	0.00008	42	0.00006	59	0.00004	594	0.00008	179	0.00006	137	0.00006	290	0.00004	474	0.00008	84	0.00004	72	0.00003	79	0.00005	81	0.00005	349	0.00011	84	0.00005	21	0.00000	0	0.00000	0	0.00000	0	0.00000
Rubinisphaera brasiliensis	119	S	19	0.00001	103	0.00001	21	0.00001	65	0.00001	40	0.00001	84	0.00001	74	0.00001	76	0.00001	13	0.00001	0	0.00000	113	0.00001	0	0.00000	18	0.00001	0	0.00000	77	0.00001	59	0.00000	10	0.00006	15	0.00001	0	0.00000	56	0.00003	0	0.00000	31	0.00002	53	0.00001	28	0.00001	0	0.00000	50	0.00001	47	0.00001	12	0.00001	15	0.00001	17	0.00001	15	0.00001	27	0.00001	18	0.00001	15	0.00000	0	0.00000	0	0.00000	0	0.00000
Dietzia sp. oral taxon 368	712270	S	2127	0.00062	10996	0.00084	2879	0.00072	9008	0.00077	16952	0.00317	27840	0.00215	10024	0.00081	11947	0.00146	1137	0.00105	354	0.00025	109396	0.01001	482	0.00087	30267	0.01289	189	0.00062	15032	0.00230	8216	0.00047	159	0.00092	716	0.00048	221	0.00032	2419	0.00149	242	0.00032	361	0.00025	12339	0.00162	2881	0.00103	2150	0.00101	26034	0.00326	3853	0.00068	212980	0.10359	2482	0.00088	901	0.00054	3097	0.00198	2192	0.00070	5745	0.00334	771	0.00016	58	0.00005	119	0.00040	27	0.00037
Gordonia virus Kenna	2734201	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	42	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Virgibacillus pantothenticus	1473	S	0	0.00000	185	0.00001	0	0.00000	46	0.00000	0	0.00000	107	0.00001	56	0.00000	83	0.00001	29	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	128	0.00002	66	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	33	0.00000	0	0.00000	0	0.00000	0	0.00000	48	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
