taxonomy_id	FMD_002	FMD_003	FMD_004	FMD_006	FMD_007	FMD_008	FMD_009	FMD_012	FMD_013	FMD_014	FMD_015	FMD_017	FMD_021	FMD_023	FMD_024	FMD_025	FMD_026	FMD_027	FMD_028	FMD_029	FMD_032	FMD_033	FMD_034	FMD_035	FMD_037	FMD_038	FMD_039_040	FMD_043_044	FMD_050	FMD_051	FMD_052	FMD_058	FMD_059	NC1	NC2	NC3	NC4
1644130	22	0	16	33	0	85	261	47	0	0	31	0	0	0	77	70	0	0	0	0	0	0	31	0	0	27	36	0	0	0	0	0	26	0	0	0	0
1938820	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	610	0	0
82995	32	89	32	56	18	34	45	53	0	0	66	0	13	0	27	38	0	0	12	0	0	0	79	26	0	32	88	0	17	0	25	0	12	0	0	0	0
683737	13	68	45	55	22	88	75	83	18	0	26	0	18	0	180	24	0	15	14	0	0	19	50	33	24	51	27	20	35	11	13	14	22	10	0	0	0
2698672	0	49	31	121	28	49	85	72	0	0	42	0	25	0	73	34	0	0	16	0	0	19	71	13	0	33	24	0	21	0	18	18	20	0	0	0	0
1536775	0	42	68	44	161	85	78	60	13	0	34	0	16	0	185	15	0	12	0	0	0	11	38	11	15	55	26	15	27	12	27	17	0	0	0	0	0
213419	0	69	0	93	50	53	63	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
945844	1598	15963	3596	11970	1361	8045	17384	9712	669	8531	6505	624	945	87	5616	15551	40	315	153	1132	169	1152	9732	4220	673	1859	2637	1443	4729	18550	816	1514	221	221	103	103	21
2592654	220	1529	216	691	418	791	826	732	70	34	671	39	136	16	423	969	15	29	26	132	42	59	594	179	137	290	474	84	72	79	81	349	84	21	0	0	0
119	19	103	21	65	40	84	74	76	13	0	113	0	18	0	77	59	10	15	0	56	0	31	53	28	0	50	47	12	15	17	15	27	18	15	0	0	0
