,name,freq,prev,p.freq,p.prev,p,contaminant
1938820,Serratia_sp._JKS000199,1.53E-05,3,NA,0.013256113,0.013256113,TRUE
1993872,Mycobacterium_virus_TM4,5.65E-06,2,NA,0.004504505,0.004504505,TRUE
2742678,Citrobacter_sp._RHBSTW-01044,3.38E-06,2,NA,0.004504505,0.004504505,TRUE
2725997,Escherichia_sp._SCLE84,4.95E-06,2,NA,0.004504505,0.004504505,TRUE
1980931,Staphylococcus_virus_IPLAC1C,4.67E-05,6,NA,0.004920887,0.004920887,TRUE
2025876,Parabacteroides_sp._CT06,7.32E-05,16,NA,0.013778484,0.013778484,TRUE
458197,Serratia_nematodiphila,1.03E-05,4,NA,0.025997426,0.025997426,TRUE
51589,Haloarcula_hispanica,0.000744827,3,NA,0.013256113,0.013256113,TRUE
648691,Enterobacter_sp._YSU,2.79E-06,3,NA,0.013256113,0.013256113,TRUE
632,Yersinia_pestis,8.66E-05,25,NA,0.095768037,0.095768037,TRUE
2044467,Escherichia_sp._E4742,6.74E-05,15,NA,0.096449391,0.096449391,TRUE
622,Shigella_dysenteriae,5.07E-05,7,NA,0.008479067,0.008479067,TRUE
2603296,Enterococcus_sp._DA9,0.000354679,5,NA,0.002498297,0.002498297,TRUE
2683680,Bacillus_sp._ms-22,0.000142259,14,NA,0.078537361,0.078537361,TRUE
10641,Cauliflower_mosaic_virus,1.02E-05,3,NA,0.0002574,0.0002574,TRUE
357441,Enterococcus_lactis,0.000127295,3,NA,0.013256113,0.013256113,TRUE
623,Shigella_flexneri,6.57E-05,6,NA,0.004920887,0.004920887,TRUE
488142,Serratia_sp._SCBI,1.88E-05,7,NA,0.008479067,0.008479067,TRUE
1980930,Staphylococcus_virus_SEP1,4.97E-05,6,NA,0.004920887,0.004920887,TRUE
2742653,Citrobacter_sp._RHBSTW-00524,3.74E-06,3,NA,0.013256113,0.013256113,TRUE
11320,Influenza_A_virus,0.000672651,6,NA,0.000113559,0.000113559,TRUE
1848517,Enterobacter_sp._LU1,9.77E-06,4,NA,0.025997426,0.025997426,TRUE
2420313,Enterococcus_sp._FDAARGOS_553,3.35E-05,7,NA,0.085585586,0.085585586,TRUE
300181,Serratia_ureilytica,6.95E-05,8,NA,0.013354531,0.013354531,TRUE
624,Shigella_sonnei,0.000205303,2,NA,0.004504505,0.004504505,TRUE
1178537,Bacillus_xiamenensis,0.000145815,14,NA,0.078537361,0.078537361,TRUE
2420306,Serratia_sp._FDAARGOS_506,1.48E-05,21,NA,0.045310016,0.045310016,TRUE
2785531,Bacteroides_sp._HF-162,0.000232043,23,NA,0.067037626,0.067037626,TRUE
2015795,Klebsiella_sp._LY,1.63E-05,2,NA,0.004504505,0.004504505,TRUE
1499973,Escherichia_marmotae,6.48E-05,25,NA,0.095768037,0.095768037,TRUE
621,Shigella_boydii,7.22E-05,4,NA,0.00101446,0.00101446,TRUE
657335,Rahnella_sp._WMR114,7.48E-06,3,NA,0.0002574,0.0002574,TRUE
2755405,Bacteroides_sp._CACC_737,0.000115127,24,NA,0.080445151,0.080445151,TRUE
2485839,Serratia_sp._LS-1,9.57E-06,5,NA,0.042471042,0.042471042,TRUE
1813821,Shigella_sp._PAMC_28760,0.000811829,2,NA,0.004504505,0.004504505,TRUE
2799495,Raoultella_sp._XY-1,1.20E-05,2,NA,0.004504505,0.004504505,TRUE
1178540,Bacillus_zhangzhouensis,1.80E-06,2,NA,0.004504505,0.004504505,TRUE
1644130,Maribacter_sp._1_2014MBL_MicDiv,2.55E-06,13,NA,0.919554849,0.919554849,FALSE
82995,Serratia_grimesii,4.01E-06,20,NA,0.981981982,0.981981982,FALSE
683737,Paenibacillus_uliginis,6.71E-06,28,NA,0.980286169,0.980286169,FALSE
2698672,Muricauda_sp._501str8,4.57E-06,21,NA,0.986221516,0.986221516,FALSE
1536775,Paenibacillus_sp._FSL_H7-0737,5.82E-06,24,NA,0.994587024,0.994587024,FALSE
213419,Geobacillus_zalihae,1.19E-06,6,NA,0.761791203,0.761791203,FALSE
945844,Massilia_oculi,0.001064623,37,NA,0.5,0.5,FALSE
2592654,Lysinimonas_sp._KACC_19322,5.46E-05,34,NA,0.9997426,0.9997426,FALSE
119,Rubinisphaera_brasiliensis,8.31E-06,28,NA,0.980286169,0.980286169,FALSE
712270,Dietzia_sp._oral_taxon_368,0.004388723,37,NA,0.5,0.5,FALSE
2734201,Gordonia_virus_Kenna,8.76E-08,1,NA,NA,NA,FALSE
1473,Virgibacillus_pantothenticus,2.81E-06,10,NA,0.867136044,0.867136044,FALSE
92942,Nostoc_linckia,7.96E-05,32,NA,0.997501703,0.997501703,FALSE
