	Bezafibrate	Sulfadoxine	Estradiol-17	Ranitidine	EE2	Indomethacin	Propranolol	Cimetidine	Norfloxacin	Fluoxetine	Bisphenol_C	Sulfamonomethoxine	Citalopram	Sertraline	Fexofenadine	Oxazepam	Bisphenol_E	Sulfathiazole	Diazepam	4-tert-Octylphenol	Amitriptyline	Sitagliptin	Tetracycline	Sulfapyridine	Loratadine	Cetirizine	Doxycycline	Triclosan	Triamterene	Codeine	Androstenedione	Carbamazepine	Gemfibrozil	Bisphenol_B	Paracetamol	Ciprofloxacin	Brompheniramine	Sulfamethazine	Sulfamerazine	Roxithromycin	Sulfamethoxazole	Tetostrone	Metronidazole	Naproxen	Sulfadiazine	Enrofloxacin	Oxytetracycline	Progestrone	Bisphenol_AF	ETM-H2O	Venlafaxine	Fluconazole	Clarithromycin	Benzyl_paraben	Diltiazem	Trimethoprim	Ketoprofen	Ofloxacin	Butyl_paraben	Gabapentin	Ethyl_paraben	Chorpheniramine	Propyl_paraben	Lidocaine	Ibuprofen	Bisphenol_S	4-Nonylphenol	"N,N-diethyl-meta-toluamide"	Bisphenol_F	Triclocarban	Methyl_paraben	Desvenlafaxin	Diphenhydramine	Bisphenol_A	Cotinine	Caffeine
FMD_002	0	0	0	0	0	0	0	14.1	0	0	806.9	0	0	0	0	0	0	17.6	0	49.2	0	0.5	0	0	0	2	0	792.2	0.7	16	17.7	0.5	5.1	95.7	537.4	0.7	5.4	2.3	2.9	0.7	3.1	14.1	6.1	25.9	12.8	3.4	38.7	11.4	31.8	0.6	0.8	1.8	4.9	3.6	14.6	4.3	607.5	75.1	11.5	91.4	36.8	54.1	108	14.4	506.9	212.8	428.1	259.5	521.5	2503.4	294.9	5.8	253.6	3964.8	3057.4	8639.4
FMD_003	0	0	0	0	0	0	0	0	0	0	550.5	0	0	0	0	0	0	0	0	0	0	1	7.3	0	0	1.3	0	285.8	0.6	0.7	5.5	0.3	5	58.3	454.4	3	1.7	1.8	5.6	0.5	6.3	9.1	51.2	54.6	313.6	4.7	4.5	10	18.3	0.1	0.2	0.9	1.5	4.4	5.5	3.8	8.2	6.9	11.1	11.1	392	289.2	174.4	49.9	388.5	339.8	21.5	138.3	549	238.4	548	3	1505.5	4300.9	18166.8	12315.5
FMD_004	0	0	0	0	0	0	0	0	0	0	686.3	0	0	0	0	0	0	15.7	11.7	0	0	0.5	7.1	0	0	0	0	822.1	1.5	10	12.6	0.2	5	78.6	1454.9	0.7	0	4.9	28.7	0.7	15.9	12	4.1	44.7	0	2.4	7.8	17.5	40.8	0.5	0.3	1.4	0.9	12.6	18.1	3.8	11	76.8	177.1	15.5	96	75.1	688.9	23.2	280.6	404.5	50.1	190.8	435.1	1066.1	922.5	7.3	724	9835.9	1513.8	10700.1
FMD_006	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0.7	3.6	0	0	2	1.8	1125.9	0	3.7	15.7	0.8	5	97.1	238.8	2.5	13.2	20.9	0	2.2	64.2	48.1	6.1	35.6	117.4	4.7	21.3	18.2	0	1.1	0.1	1.9	3.2	14.8	4.2	11.3	5.1	55.8	10.2	13.5	36.1	1818.6	382.3	176.3	1116.1	129.5	119.6	83.7	532.7	319.4	539.6	215.1	157.9	2699.4	1565.8	4685.9
FMD_008	0	0	0	0	0	0	0	0	0	3.8	0	2.2	0	0	0	0	5.2	3	0	11.7	0	0.8	3.4	0	0.1	0.6	12.8	0	0.5	10.8	12.8	0.2	48.3	93.9	0	1.1	10.4	3.2	4.5	1.4	23.7	9.2	4.1	33.4	19.3	3.2	28.5	11.6	15.8	1	0.4	0.8	4.2	3.9	2.8	5.7	5.4	153.7	7.7	24	36.8	273.4	43.4	38.6	115.9	254.4	62.6	129.1	292.9	164.1	128.2	1.5	605.5	2409.8	5011.5	5889
FMD_009	0	0	0	0	0	0	0	0	0	0	0	6.1	0	0	0	0	9.2	10.3	0	2.2	0	0	0	16	0.1	0.7	0	0	0	0	0	0	4.8	0	972.8	0.4	0.5	24.6	50.4	4.2	7.1	7.9	92.5	14.8	26.6	1.1	12.4	5.8	26.1	0.1	0.6	0.9	3.7	4.2	18.9	1.7	9.5	2.5	83.8	20.2	254.7	23	231.8	19.1	168.9	290.9	20.7	93.7	318.4	57.1	1313.5	3.2	3448.5	9199.7	1453.3	2533.5
FMD_012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1	0	0	0	0	0	0	0	0	0	0	3	7.6	0	0	0	30.4	26.2	36.3	182.7	5329.3	3.9	0	14.1	6	3.4	74.9	27.5	76	76.3	19.8	12.2	10.1	38.3	48.1	4.8	0.9	6.9	10.7	18.9	7.7	9.6	15.2	28.5	14.6	167.7	262.8	165.2	781.8	121.2	700.6	1197.2	5650.2	631.1	1593.4	1105.2	859.8	155.2	615.6	10199.3	30060.4	26730.4
FMD_013	0	0	0	0	0	0	0	0	19.1	0	0	0	0	0	0	0	5.5	0	0.8	4.3	0	1.1	2.8	0	0.7	0.9	0	230	0.4	0.5	0	0.2	4.9	87.2	353	2.4	0.7	2.1	0	1.1	13.6	8.2	0	29.3	538.1	4.6	1.5	13.5	13.4	0.8	2.7	0.8	1.4	3.9	5.7	3.7	5.9	9.5	96	38.7	129.8	184.9	44	16.7	106.3	489.8	21.1	28.6	276.2	218.8	203	3.4	508.1	3154.8	3358	8550.9
FMD_014	0	1.5	0	0	0	0	0	0	0	0	0	0	0	32.5	0	0	11.3	0	0	7.2	0	0	0	19.8	0.3	0	0	889.5	0.2	6.3	8.9	1.4	5	66.9	278.4	0.9	0.4	1.8	4.1	0.5	0	14.7	0	0	17.6	2.8	0.8	5.7	24.5	0.4	0.1	1	1.5	2.6	1.3	1.3	5.2	68	7.5	103.8	35	8.1	196.3	4.7	246	88.5	85.8	251.8	208.9	298.7	87.5	5.5	60.3	1765.7	1520.4	4573.7
FMD_015	0	0	0	0	0	84.8	0	0	0	0	0	0	0	0	0	0	7.2	0	0	4.6	0	0	7.3	0	0	2.7	0	280.4	0.3	0.4	0	0	5.1	109.7	461	1.2	0.9	0	3.4	0.5	4.7	5.3	28.8	13.6	56.2	2.5	1.7	3.3	32.4	0.7	0.1	0.6	1.5	2.7	9.8	2.8	4.4	8.6	42.8	18.8	174	673.8	378.6	18.9	120.5	475.2	92.4	75.3	203.8	577.5	1094.1	1059.2	261.8	3773.3	1647.8	8155.8
