Pathway	Species	FMD_002 	FMD_003 	FMD_004 	FMD_006 	FMD_008 	FMD_009 	FMD_012 	FMD_013 	FMD_014 	FMD_015 	FMD_017 	FMD_021 	FMD_023 	FMD_024 	FMD_025 	FMD_026 	FMD_027 	FMD_028 	FMD_029 	FMD_032 	FMD_033 	FMD_034 	FMD_035 	FMD_037 	FMD_038 	FMD_039_040 	FMD_043_044 	FMD_050 	FMD_051 	FMD_052 	FMD_058 	FMD_059 
"12DICHLORETHDEG-PWY:_1,2-dichloroethane_degradation"	unclassified	0	2.79E-07	0	3.56E-07	9.47E-07	0	0	0	0	0	0	0	0	0	4.68E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"14DICHLORBENZDEG-PWY:_1,4-dichlorobenzene_degradation"	g__Roseomonas.s__Roseomonas_mucosa	0	1.02E-06	0	2.38E-05	1.35E-06	0	1.30E-06	0	0	0	0	0	0	4.11E-07	5.91E-06	0	4.50E-07	0	0	0	0	6.87E-07	6.13E-07	0	2.30E-06	1.80E-06	0	0	0	2.31E-06	0	0
"14DICHLORBENZDEG-PWY:_1,4-dichlorobenzene_degradation"	unclassified	0	0	0	0	0	6.89E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.69E-07	1.80E-07	0	0	0	0	0	8.40E-07	0	1.54E-06	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Acinetobacter.s__Acinetobacter_baumannii	0	0	0	0	0	0	1.28E-07	0	0	2.04E-06	0	0	0	0	1.04E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Acinetobacter.s__Acinetobacter_idrijaensis	0	0	0	0	0	2.94E-07	0	0	0	1.63E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Acinetobacter.s__Acinetobacter_johnsonii	0	0	0	0	7.04E-07	8.22E-07	0	0	0	3.21E-06	0	0	0	0	0	0	0	0	0	0	0	1.01E-06	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Acinetobacter.s__Acinetobacter_junii	0	0	0	0	3.19E-07	2.28E-06	0	0	0	2.03E-07	0	0	0	0	0	0	0	0	0	0	0	2.69E-07	0	0	0	0	3.04E-06	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Acinetobacter.s__Acinetobacter_parvus	0	0	0	0	3.59E-07	3.53E-07	0	0	0	0	0	0	0	0	6.93E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Acinetobacter.s__Acinetobacter_radioresistens	0	0	0	0	0	0	5.96E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY:_folate_transformations_III_(E._coli)	g__Acinetobacter.s__Acinetobacter_schindleri	0	0	2.92E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
