query	target	 identity	alignment_length	N_mismatches	N_gap openings	query_start	query_end	target_start	target_end	e-value	bitscore
S11C1032_116	NZ_AP018809.1_90	0.409	145	82	0	10	154	53	192	4.80E-26	106
S11C1032_116	NC_017653.1_89	0.418	154	86	0	22	175	1	149	2.61E-29	115
S11C1032_116	NZ_CP021340.1_26	0.43	166	91	0	10	175	53	213	6.08E-34	129
S11C1032_116	NZ_CP028125.1_37	0.43	166	91	0	10	175	53	213	6.08E-34	129
S11C1032_116	NZ_CP021336.1_26	0.43	166	91	0	10	175	53	213	6.08E-34	129
S11C1032_116	NZ_CP033848.1_56	0.43	166	91	0	10	175	53	213	6.08E-34	129
S11C1032_116	NC_031129.1_94	0.434	166	91	0	10	175	53	213	1.73E-34	130
S11C1032_116	NZ_CP034821.1_18	0.434	166	91	0	10	175	53	213	1.73E-34	130
S11C1032_116	NZ_CP009168.1_83	0.434	166	91	0	10	175	53	213	1.73E-34	130
S11C1032_116	NZ_CP030188.1_80	0.434	166	91	0	10	175	53	213	1.73E-34	130
S11C1032_116	NZ_CP038506.1_9	0.436	166	90	0	10	175	53	213	9.23E-35	131
S11C1032_116	NZ_CP019188.1_69	0.439	166	90	0	10	175	53	213	3.60E-35	132
S11C1032_116	NZ_CP023732.1_56	0.439	166	90	0	10	175	53	213	3.60E-35	132
S11C1032_116	NZ_CP026821.1_67	0.442	165	89	0	10	174	53	212	2.63E-35	133
S11C1032_116	NZ_CP026808.1_18	0.442	165	89	0	10	174	53	212	2.63E-35	133
S11C1032_116	NZ_CP026816.1_12	0.442	165	89	0	10	174	53	212	2.63E-35	133
S11C1032_116	NZ_CP026725.1_87	0.44	166	90	0	10	175	53	213	2.63E-35	133
S11C1032_116	NZ_CP026818.1_44	0.442	165	89	0	10	174	53	212	2.63E-35	133
S11C1032_116	NZ_CP009051.1_85	0.44	166	90	0	10	175	53	213	2.63E-35	133
S11C1032_116	NZ_CP009073.1_41	0.444	166	89	0	10	175	53	213	7.48E-36	134
S11C1032_155	NZ_CP037443.1_31	0.384	185	110	0	86	265	14	198	1.23E-30	123
S11C1032_155	NZ_CP015088.1_1	0.44	158	87	0	79	236	9	164	7.61E-32	126
S11C1032_155	NZ_CP038625.1_29	0.351	241	154	0	1	238	1	241	1.48E-36	140
S11C1032_155	NZ_CP026818.1_24	0.398	231	137	0	8	236	37	267	1.91E-43	160
